pc,bank/page,opcode,mnemonic,access_type,effective_address,address_class,subsystem,minimal_os_required,risk,width,bitmask,value_source,x_base/y_base,routine_label,interrupt_context,callers,engine_state_seen,notes,confidence
0x7880,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $22,X,#$08",RMW,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x08,clear 0x08,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,"TMSK1 timer interrupt mask | CLR b3, TMASK1, TIC4/TOC5 INHIB | indexed_resolved",high
0x7883,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $20,X,#$01",RMW,0x3020,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x01,clear 0x01,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,"TCTL1 output compare action | CLR b0, TCTL1, OL5 DISCON FM PIN | indexed_resolved",high
0x7898,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $1E,X",R,0x301E,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,16,,ADDD,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,TOC5/TIC4 compare | TIC4/TOC5 | indexed_resolved,high
0x78B0,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $1E,X",R,0x301E,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,16,,ADDD,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,TOC5/TIC4 compare | TIC4/TOC5 | indexed_resolved,high
0x78C5,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET $20,X,#$01",RMW,0x3020,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x01,set 0x01,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,TCTL1 output compare action | SET b0 | indexed_resolved,high
0x78D6,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STD $1E,X",W,0x301E,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,16,,D,X=0x3000,L785A,TOC5/TIC4 interrupt,0x75D1;0x774C,,TOC5/TIC4 compare | TIC4/TOC5 VALUE | indexed_resolved,high
0x78DE,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STAA $23,X",W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x10,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TFLG1 timer interrupt flags / write-one-clear | TFLG1, | indexed_resolved",high
0x78E4,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $22,X,#$10",RMW,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x10,clear 0x10,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TMSK1 timer interrupt mask | SET b4, TOC4 INT ENABLE | indexed_resolved",high
0x78E7,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BCLR $20,X,#$04",RMW,0x3020,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x04,clear 0x04,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TCTL1 output compare action | SET b2, TCTL1, OL4 TGGLE OC LINE | indexed_resolved",high
0x78FC,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $1C,X",R,0x301C,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,16,,ADDD,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,TOC4 compare | TOC4 | indexed_resolved,high
0x7914,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"ADDD $1C,X",R,0x301C,HC11_REG,FUEL_SCHED_TIMER,YES,MEDIUM,16,,ADDD,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,TOC4 compare | TOC4 | indexed_resolved,high
0x7929,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"BSET $20,X,#$04",RMW,0x3020,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0x04,set 0x04,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,"TCTL1 output compare action | TCTL1, OL4 TOGGLE TOC4 OUT LINE | indexed_resolved",high
0x793A,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,"STD $1C,X",W,0x301C,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,16,,D,X=0x3000,L785A,TOC4 interrupt,0x75D1;0x774C,,TOC4 compare | TOC4 | indexed_resolved,high
0x7948,BMHM_$31_main_window_ORG_0x7100,source_listing_no_bytes,STAA L3023,W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x20,,L785A,TOC3/6.25ms major-loop interrupt,0x75D1;0x774C,,TFLG1 timer interrupt flags / write-one-clear,high
0xCC56,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,"BSET $22,X,#$A0",RMW,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,bit,0xA0,set 0xA0,X=0x3000,LCC4B,mainline/unknown,0xCC48,,TMSK1 timer interrupt mask | TMSK1 | indexed_resolved,high
0xCE7E,BMHM_$31_main_window_ORG_0x9C96,source_listing_no_bytes,STAA L3023,W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x80,,LCE10,TOC1 knock-window interrupt,0x7B17,,TFLG1 timer interrupt flags / write-one-clear | TMR FLG 1 REG,high
0xFC16,BMHM_$31_main_window_ORG_0xFBD7,source_listing_no_bytes,STAA L3023,W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x01,,LFC11,XIRQ/vector handler,0x74EE,,TFLG1 timer interrupt flags / write-one-clear,high
0xFC31,BMHM_$31_main_window_ORG_0xFBD7,source_listing_no_bytes,STAA L3022,W,0x3022,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0xA0,,LFC2F,TIC/RTI vector handler,,,TMSK1 timer interrupt mask | TMSK1,high
0xFC36,BMHM_$31_main_window_ORG_0xFBD7,source_listing_no_bytes,STAA L3023,W,0x3023,HC11_REG,FUEL_SCHED_TIMER,YES,HIGH,8,,A=0x5F,,LFC2F,TIC/RTI vector handler,,,TFLG1 timer interrupt flags / write-one-clear | TFLG1,high
